iter	Passed	Remaining
1097	38389	31536
1098	38427	31504
1099	38462	31469
1100	38497	31434
1101	38533	31399
1102	38566	31363
1103	38602	31329
1104	38638	31295
1105	38674	31261
1106	38711	31227
1107	38743	31190
1108	38781	31158
1109	38816	31123
1110	38849	31086
1111	38884	31051
1112	38918	31016
1113	38953	30980
1114	38987	30945
1115	39024	30911
1116	39058	30876
1117	39091	30839
1118	39124	30803
1119	39158	30767
1120	39192	30731
1121	39228	30697
1122	39264	30663
1123	39303	30631
1124	39336	30594
1125	39369	30558
1126	39402	30522
1127	39437	30487
1128	39471	30451
1129	39506	30416
1130	39541	30381
1131	39577	30347
1132	39611	30311
1133	39645	30275
1134	39679	30240
1135	39714	30205
1136	39750	30171
1137	39785	30136
1138	39820	30101
1139	39853	30065
1140	39888	30030
1141	39924	29995
1142	39962	29962
1143	39999	29929
1144	40034	29894
1145	40070	29860
1146	40103	29824
1147	40139	29789
1148	40172	29753
1149	40207	29718
1150	40243	29684
1151	40277	29648
1152	40313	29614
1153	40350	29581
1154	40387	29547
1155	40421	29512
1156	40457	29477
1157	40492	29443
1158	40526	29407
1159	40562	29372
1160	40598	29338
1161	40633	29303
1162	40670	29270
1163	40703	29234
1164	40738	29199
1165	40775	29165
1166	40809	29129
1167	40846	29095
1168	40879	29060
1169	40914	29024
1170	40949	28990
1171	40982	28953
1172	41019	28919
1173	41053	28884
1174	41086	28847
1175	41121	28813
1176	41155	28777
1177	41191	28743
1178	41228	28709
1179	41263	28674
1180	41300	28640
1181	41334	28605
1182	41370	28571
1183	41407	28537
1184	41443	28503
1185	41477	28467
1186	41517	28436
1187	41552	28401
1188	41589	28367
1189	41624	28332
1190	41660	28298
1191	41696	28263
1192	41731	28229
1193	41766	28194
1194	41801	28159
1195	41837	28125
1196	41872	28089
1197	41906	28054
1198	41942	28020
1199	41978	27985
1200	42014	27951
1201	42049	27916
1202	42083	27880
1203	42118	27845
1204	42155	27812
1205	42188	27776
1206	42225	27741
1207	42259	27706
1208	42296	27672
1209	42328	27636
1210	42363	27601
1211	42396	27564
1212	42429	27528
1213	42465	27494
1214	42502	27460
1215	42537	27425
1216	42571	27389
1217	42604	27353
1218	42639	27318
1219	42672	27282
1220	42706	27246
1221	42740	27211
1222	42774	27175
1223	42808	27140
1224	42844	27105
1225	42881	27071
1226	42916	27036
1227	42951	27002
1228	42987	26967
1229	43024	26934
1230	43065	26902
1231	43103	26869
1232	43142	26837
1233	43178	26803
1234	43212	26767
1235	43245	26731
1236	43281	26696
1237	43316	26661
1238	43354	26628
1239	43390	26594
1240	43425	26559
1241	43460	26523
1242	43495	26489
1243	43536	26457
1244	43570	26422
1245	43603	26386
1246	43639	26351
1247	43676	26317
1248	43711	26283
1249	43748	26249
1250	43782	26213
1251	43818	26178
1252	43853	26144
1253	43892	26111
1254	43927	26076
1255	43960	26040
1256	43994	26004
1257	44028	25969
1258	44062	25933
1259	44096	25897
1260	44132	25863
1261	44168	25829
1262	44201	25792
1263	44240	25760
1264	44278	25726
1265	44311	25690
1266	44346	25655
1267	44382	25621
1268	44418	25586
1269	44455	25552
1270	44489	25517
1271	44524	25482
1272	44560	25447
1273	44598	25414
1274	44634	25380
1275	44672	25346
1276	44706	25311
1277	44743	25277
1278	44776	25241
1279	44810	25206
1280	44846	25171
1281	44880	25136
1282	44915	25101
1283	44949	25065
1284	44985	25030
1285	45018	24994
1286	45055	24960
1287	45088	24924
1288	45122	24889
1289	45159	24855
1290	45194	24820
1291	45229	24785
1292	45264	24750
1293	45299	24715
1294	45334	24680
1295	45367	24643
1296	45403	24609
1297	45434	24572
1298	45469	24537
1299	45503	24501
1300	45537	24466
1301	45571	24431
1302	45607	24396
1303	45641	24361
1304	45677	24326
1305	45712	24291
1306	45747	24256
1307	45784	24222
1308	45815	24185
1309	45849	24149
1310	45883	24114
1311	45920	24080
1312	45954	24044
1313	45987	24008
1314	46023	23974
1315	46059	23939
1316	46095	23905
1317	46129	23869
1318	46163	23834
1319	46196	23798
1320	46232	23763
1321	46269	23729
1322	46304	23694
1323	46338	23659
1324	46373	23624
1325	46406	23588
1326	46440	23552
1327	46476	23518
1328	46511	23483
1329	46544	23447
1330	46581	23413
1331	46615	23377
1332	46650	23342
1333	46686	23308
1334	46721	23273
1335	46759	23239
1336	46794	23204
1337	46828	23169
1338	46863	23134
1339	46900	23100
1340	46935	23065
1341	46973	23031
1342	47008	22996
1343	47042	22960
1344	47078	22926
1345	47111	22890
1346	47144	22854
1347	47180	22820
1348	47212	22783
1349	47248	22749
1350	47284	22714
1351	47318	22679
1352	47353	22644
1353	47387	22608
1354	47423	22574
1355	47460	22540
1356	47494	22504
1357	47529	22469
1358	47564	22434
1359	47602	22401
1360	47636	22365
1361	47677	22333
1362	47716	22300
1363	47752	22265
1364	47788	22231
1365	47823	22196
1366	47860	22162
1367	47894	22126
1368	47930	22092
1369	47966	22057
1370	48002	22022
1371	48038	21988
1372	48073	21953
1373	48108	21918
1374	48140	21881
1375	48173	21846
1376	48211	21812
1377	48245	21776
1378	48279	21741
1379	48316	21707
1380	48350	21672
1381	48385	21637
1382	48419	21601
1383	48455	21566
1384	48491	21532
1385	48527	21497
1386	48560	21462
1387	48595	21426
1388	48630	21391
1389	48664	21356
1390	48701	21322
1391	48736	21287
1392	48772	21252
1393	48806	21217
1394	48838	21180
1395	48872	21145
1396	48908	21110
1397	48944	21076
1398	48980	21041
1399	49014	21006
1400	49048	20970
1401	49083	20935
1402	49118	20900
1403	49154	20865
1404	49191	20831
1405	49227	20797
1406	49261	20761
1407	49298	20727
1408	49333	20692
1409	49368	20657
1410	49404	20623
1411	49441	20588
1412	49477	20554
1413	49513	20519
1414	49549	20485
1415	49586	20450
1416	49621	20415
1417	49655	20380
1418	49689	20345
1419	49723	20309
1420	49759	20274
1421	49794	20240
1422	49829	20204
1423	49863	20169
1424	49899	20134
1425	49935	20100
1426	49969	20064
1427	50003	20029
1428	50034	19992
1429	50072	19959
1430	50106	19923
1431	50142	19889
1432	50176	19853
1433	50213	19819
1434	50250	19785
1435	50287	19750
1436	50323	19716
1437	50356	19680
1438	50394	19646
1439	50429	19611
1440	50465	19576
1441	50501	19542
1442	50533	19505
1443	50567	19470
1444	50602	19435
1445	50637	19400
1446	50672	19365
1447	50709	19331
1448	50746	19296
1449	50782	19262
1450	50820	19228
1451	50855	19193
1452	50890	19158
1453	50926	19123
1454	50962	19088
1455	50999	19054
1456	51032	19018
1457	51067	18983
1458	51102	18948
1459	51139	18914
1460	51174	18879
1461	51215	18846
1462	51249	18811
1463	51282	18775
1464	51314	18739
1465	51350	18704
1466	51384	18669
1467	51417	18633
1468	51449	18597
1469	51483	18562
1470	51518	18526
1471	51553	18492
1472	51587	18456
1473	51622	18421
1474	51659	18387
1475	51694	18352
1476	51729	18317
1477	51763	18281
1478	51798	18246
1479	51832	18211
1480	51867	18176
1481	51904	18142
1482	51940	18107
1483	51972	18071
1484	52007	18036
1485	52043	18001
1486	52077	17966
1487	52110	17930
1488	52148	17896
1489	52184	17861
1490	52223	17827
1491	52261	17794
1492	52297	17759
1493	52336	17725
1494	52371	17690
1495	52403	17654
1496	52438	17619
1497	52471	17584
1498	52507	17549
1499	52542	17514
1500	52575	17478
1501	52610	17443
1502	52647	17408
1503	52683	17374
1504	52724	17341
1505	52763	17307
1506	52799	17272
1507	52835	17238
1508	52871	17203
1509	52909	17169
1510	52946	17134
1511	52982	17100
1512	53020	17066
1513	53056	17031
1514	53091	16996
1515	53125	16960
1516	53162	16926
1517	53196	16891
1518	53231	16856
